"","Gene","Count"
"246","FBgn0085477",1
"247","FBgn0250847",1
"248","FBgn0264979",1
"249","FBgn0265267",1
"250","FBgn0023179",1
"251","FBgn0028425",1
"252","FBgn0044048",1
"253","FBgn0285937",1
"254","FBgn0000212",1
"255","FBgn0000287",1
"256","FBgn0000317",1
"257","FBgn0000490",1
"258","FBgn0001169",1
"259","FBgn0002783",1
"260","FBgn0002931",1
"261","FBgn0003175",1
"262","FBgn0003396",1
"263","FBgn0003463",1
"264","FBgn0003557",1
"265","FBgn0003719",1
"266","FBgn0004101",1
"267","FBgn0004614",1
"268","FBgn0004635",1
"269","FBgn0004837",1
"270","FBgn0004885",1
"271","FBgn0004988",1
"272","FBgn0010825",1
"273","FBgn0011224",1
"274","FBgn0011648",1
"275","FBgn0011715",1
"276","FBgn0015231",1
"277","FBgn0015905",1
"278","FBgn0016977",1
"279","FBgn0019805",1
"280","FBgn0024234",1
"281","FBgn0037657",1
"282","FBgn0042085",1
"283","FBgn0050418",1
"284","FBgn0259174",1
"285","FBgn0260003",1
"286","FBgn0260938",1
"287","FBgn0261648",1
"288","FBgn0261885",1
"289","FBgn0261983",1
"290","FBgn0262029",1
"291","FBgn0262455",1
"292","FBgn0263667",1
"293","FBgn0263930",1
"294","FBgn0283649",1
"295","FBgn0285955",1
"296","FBgn0023000",1
"297","FBgn0028935",1
"298","FBgn0038135",1
"299","FBgn0038136",1
"300","FBgn0038897",1
"301","FBgn0039640",1
"302","FBgn0039656",1
"303","FBgn0046253",1
"304","FBgn0051198",1
"305","FBgn0051233",1
"306","FBgn0051343",1
"307","FBgn0051445",1
"308","FBgn0052473",1
"309","FBgn0259237",1
"310","FBgn0261243",1
"311","FBgn0263236",1
"312","FBgn0285963",1
"313","FBgn0000257",1
"314","FBgn0000482",1
"315","FBgn0002566",1
"316","FBgn0003997",1
"317","FBgn0004510",1
"318","FBgn0010501",1
"319","FBgn0015277",1
"320","FBgn0020618",1
"321","FBgn0023001",1
"322","FBgn0029131",1
"323","FBgn0029783",1
"324","FBgn0029840",1
"325","FBgn0029943",1
"326","FBgn0031006",1
"327","FBgn0033272",1
"328","FBgn0034110",1
"329","FBgn0035538",1
"330","FBgn0035540",1
"331","FBgn0035850",1
"332","FBgn0036255",1
"333","FBgn0036813",1
"334","FBgn0037363",1
"335","FBgn0037647",1
"336","FBgn0038593",1
"337","FBgn0038659",1
"338","FBgn0039044",1
"339","FBgn0039636",1
"340","FBgn0039705",1
"341","FBgn0041210",1
"342","FBgn0044047",1
"343","FBgn0044452",1
"344","FBgn0052350",1
"345","FBgn0086676",1
"346","FBgn0263662",1
"347","FBgn0264325",1
"348","FBgn0264357",1
"349","FBgn0285911",1
"350","FBgn0000618",1
"351","FBgn0005654",1
"352","FBgn0005695",1
"353","FBgn0023181",1
"354","FBgn0027603",1
"355","FBgn0031052",1
"356","FBgn0033316",1
"357","FBgn0034646",1
"358","FBgn0034838",1
"359","FBgn0039110",1
"360","FBgn0040670",1
"361","FBgn0053180",1
"362","FBgn0259736",1
"363","FBgn0286809",1
"364","FBgn0000064",1
"365","FBgn0000579",1
"366","FBgn0001092",1
"367","FBgn0001187",1
"368","FBgn0003071",1
"369","FBgn0003074",1
"370","FBgn0004654",1
"371","FBgn0005558",1
"372","FBgn0020236",1
"373","FBgn0023143",1
"374","FBgn0023479",1
"375","FBgn0028561",1
"376","FBgn0029155",1
"377","FBgn0039158",1
"378","FBgn0039873",1
"379","FBgn0064126",1
"380","FBgn0086355",1
"381","FBgn0264574",1
