"","Gene","Count"
"246","FBgn0263980",1
"247","FBgn0264691",1
"248","FBgn0267390",1
"249","FBgn0283472",1
"250","FBgn0283724",1
"251","FBgn0004507",1
"252","FBgn0260945",1
"253","FBgn0266064",1
"254","FBgn0030608",1
"255","FBgn0033205",1
"256","FBgn0035586",1
"257","FBgn0040336",1
"258","FBgn0052803",1
"259","FBgn0261283",1
"260","FBgn0262433",1
"261","FBgn0003206",1
"262","FBgn0010398",1
"263","FBgn0015269",1
"264","FBgn0015286",1
"265","FBgn0023023",1
"266","FBgn0025741",1
"267","FBgn0026376",1
"268","FBgn0029944",1
"269","FBgn0032401",1
"270","FBgn0034158",1
"271","FBgn0034230",1
"272","FBgn0037188",1
"273","FBgn0038686",1
"274","FBgn0085421",1
"275","FBgn0085422",1
"276","FBgn0259228",1
"277","FBgn0265605",1
"278","FBgn0000635",1
"279","FBgn0001991",1
"280","FBgn0002306",1
"281","FBgn0002577",1
"282","FBgn0004359",1
"283","FBgn0004368",1
"284","FBgn0004456",1
"285","FBgn0010620",1
"286","FBgn0011202",1
"287","FBgn0011672",1
"288","FBgn0015399",1
"289","FBgn0015872",1
"290","FBgn0016984",1
"291","FBgn0024179",1
"292","FBgn0024189",1
"293","FBgn0025686",1
"294","FBgn0026189",1
"295","FBgn0028369",1
"296","FBgn0028400",1
"297","FBgn0028516",1
"298","FBgn0030529",1
"299","FBgn0031683",1
"300","FBgn0031879",1
"301","FBgn0033096",1
"302","FBgn0033097",1
"303","FBgn0033635",1
"304","FBgn0033657",1
"305","FBgn0034883",1
"306","FBgn0034885",1
"307","FBgn0035432",1
"308","FBgn0036715",1
"309","FBgn0036756",1
"310","FBgn0036985",1
"311","FBgn0037533",1
"312","FBgn0038132",1
"313","FBgn0038237",1
"314","FBgn0038412",1
"315","FBgn0039038",1
"316","FBgn0039232",1
"317","FBgn0039594",1
"318","FBgn0039840",1
"319","FBgn0040297",1
"320","FBgn0041096",1
"321","FBgn0043903",1
"322","FBgn0051116",1
"323","FBgn0052150",1
"324","FBgn0053129",1
"325","FBgn0053970",1
"326","FBgn0066365",1
"327","FBgn0250789",1
"328","FBgn0263111",1
"329","FBgn0263258",1
"330","FBgn0263930",1
"331","FBgn0265011",1
"332","FBgn0266672",1
"333","FBgn0284421",1
"334","FBgn0284435",1
"335","FBgn0286785",1
"336","FBgn0011703",1
"337","FBgn0011704",1
"338","FBgn0013770",1
"339","FBgn0019686",1
"340","FBgn0020381",1
"341","FBgn0035461",1
"342","FBgn0037396",1
"343","FBgn0037643",1
"344","FBgn0086907",1
"345","FBgn0250848",1
"346","FBgn0003254",1
"347","FBgn0023169",1
"348","FBgn0037240",1
"349","FBgn0260817",1
"350","FBgn0262081",1
"351","FBgn0283469",1
"352","FBgn0011204",1
"353","FBgn0011205",1
"354","FBgn0015240",1
"355","FBgn0025615",1
"356","FBgn0034999",1
"357","FBgn0035383",1
"358","FBgn0035632",1
"359","FBgn0036053",1
"360","FBgn0036449",1
"361","FBgn0036996",1
"362","FBgn0038074",1
"363","FBgn0038201",1
"364","FBgn0040344",1
"365","FBgn0042693",1
"366","FBgn0063667",1
"367","FBgn0261285",1
"368","FBgn0265187",1
"369","FBgn0267828",1
"370","FBgn0286723",1
"371","FBgn0029642",1
"372","FBgn0032801",1
"373","FBgn0032805",1
"374","FBgn0032809",1
"375","FBgn0032810",1
"376","FBgn0034067",1
"377","FBgn0035321",1
"378","FBgn0261673",1
"379","FBgn0000094",1
"380","FBgn0000276",1
"381","FBgn0000277",1
"382","FBgn0000278",1
"383","FBgn0000279",1
"384","FBgn0003495",1
"385","FBgn0010385",1
"386","FBgn0010388",1
"387","FBgn0011274",1
"388","FBgn0012042",1
"389","FBgn0014865",1
"390","FBgn0030051",1
"391","FBgn0030310",1
"392","FBgn0030695",1
"393","FBgn0030774",1
"394","FBgn0031701",1
"395","FBgn0032638",1
"396","FBgn0033367",1
"397","FBgn0033402",1
"398","FBgn0033593",1
"399","FBgn0034328",1
"400","FBgn0034330",1
"401","FBgn0034407",1
"402","FBgn0035806",1
"403","FBgn0037574",1
"404","FBgn0037906",1
"405","FBgn0038134",1
"406","FBgn0038530",1
"407","FBgn0038973",1
"408","FBgn0039102",1
"409","FBgn0039494",1
"410","FBgn0040323",1
"411","FBgn0040660",1
"412","FBgn0040736",1
"413","FBgn0041181",1
"414","FBgn0041579",1
"415","FBgn0041581",1
"416","FBgn0043576",1
"417","FBgn0050098",1
"418","FBgn0052185",1
"419","FBgn0052382",1
"420","FBgn0052383",1
"421","FBgn0243514",1
"422","FBgn0261988",1
"423","FBgn0262473",1
"424","FBgn0266136",1
"425","FBgn0283437",1
"426","FBgn0000157",1
"427","FBgn0000492",1
"428","FBgn0000504",1
"429","FBgn0003502",1
"430","FBgn0261953",1
"431","FBgn0000075",1
"432","FBgn0000546",1
"433","FBgn0000551",1
"434","FBgn0000552",1
"435","FBgn0001321",1
"436","FBgn0002440",1
"437","FBgn0002525",1
